Názov;Názov liečiva;;;
ABASAGLAR 100 jednotiek/ml KwikPen injekčný roztok v naplnenom pere;Inzulín-glargin;;;
Abevmy 25 mg/ml koncentrát na infúzny roztok;Bevacizumab;;;
Abevmy 25 mg/ml koncentrát na infúzny roztok;Bevacizumab;;;
"Abilify Maintena 400 mg prášok a disperzné prostredie na injekčnú suspenziu s predĺženým
 uvoľňovaním";Aripiprazol;;;
"Abilify Maintena 400 mg prášok a disperzné prostredie na injekčnú suspenziu s predĺženým
 uvoľňovaním v naplnenej injekčnej striekačke";Aripiprazol;;;
Abilify Maintena 960 mg injekčná suspenzia s predĺženým uvoľňovaním v naplnenej injekčnej striekačke;Aripiprazol;;;
Abiraterón Krka 500 mg filmom obalené tablety;Abiraterón;;;
Abirateron Pharmagen;Abiraterón;;;
Abiraterón Sandoz 1000 mg filmom obalené tablety;Abiraterón;;;
Abiraterón Sandoz 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterón STADA 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone Accord 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone G.L. Pharma 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone Glenmark 500 mg;Abiraterón;;;
Abiraterone Heaton 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone medac 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone Olainfarm 250 mg tablety;Abiraterón;;;
Abiraterone Olainfarm 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone Pharmevid 250 mg tablety;Abiraterón;;;
Abiraterone Vipharm 500 mg;Abiraterón;;;
Abiraterone Zentiva;Abiraterón;;;
Abisax 20 mg;Bilastín;;;
Abisax 20 mg;Bilastín;;;
Abraxane 5 mg/ml prášok na infúznu suspenziu;Paklitaxel;;;
Acamprosat Mylan 333 mg;Akamprosát;;;
ACARIZAX 12 SQ-HDM;Roztoče domáceho prachu;;;
ACARIZAX 12 SQ-HDM;Roztoče domáceho prachu;;;
ACC injekt;Acetylcysteín;;;
Accofil 48 MU/0,5 ml injekčný alebo infúzny roztok v naplnenej injekčnej striekačke;Filgrastim;;;
Aceclofenac Accord 100 mg filmom obalené tablety;Aceklofenak;;;
Aceclofenac Accord 100 mg filmom obalené tablety;Aceklofenak;;;
Acidum folicum Léčiva;Kyselina listová;;;
Acidum folicum Léčiva;Kyselina listová;;;
Aclasta 5 mg infúzny roztok;Kyselina zoledrónová;;;
Aclexa 100 mg tvrdé kapsuly;Celekoxib;;;
Aclexa 200 mg tvrdé kapsuly;Celekoxib;;;
Aclexa 200 mg tvrdé kapsuly;Celekoxib;;;
Acnatac 10 mg/g+0,25 mg/g gél;Klindamycín, kombinácie;;;
ACTAIR 100 IR sublingválne tablety;Roztoče domáceho prachu;;;
ACTAIR 100 IR sublingválne tablety, ACTAIR 300 IR sublingválne tablety;Roztoče domáceho prachu;;;
ACTAIR 300 IR sublingválne tablety;Roztoče domáceho prachu;;;
ACTAIR 300 IR sublingválne tablety;Roztoče domáceho prachu;;;
Actelsar HCT 80 mg/12,5 mg tablety;Telmisartan a diuretiká;;;
Actelsar HCT 80 mg/12,5 mg tablety;Telmisartan a diuretiká;;;
Actelsar HCT 80 mg/25 mg tablety;Telmisartan a diuretiká;;;
Activelle;Noretisterón a estrogén;;;
Actrapid Penfill 100 medzinárodných jednotiek/ml injekčný roztok v náplni;Ľudský inzulín;;;
ADADUT 0,5 mg mäkké kapsuly;Dutasterid;;;
ADADUT 0,5 mg mäkké kapsuly;Dutasterid;;;
Adamon SR 100 mg tvrdé kapsuly s predĺženým uvoľňovaním;Tramadol;;;
Adamon SR 50 mg tvrdé kapsuly s predĺženým uvoľňovaním;Tramadol;;;
ADARTREL 0,25 mg;Ropinirol;;;
ADARTREL 0,50 mg;Ropinirol;;;
ADATAM 0,5 mg/0,4 mg;Tamsulozín a dutasterid;;;
ADCETRIS 50 mg prášok na koncentrát na infúzny roztok;Brentuximab-vedotín;;;
Adempas 1 mg filmom obalené tablety;Riociguát;;;
Adempas 1,5 mg filmom obalené tablety;Riociguát;;;
Adempas 2 mg filmom obalené tablety;Riociguát;;;
Adempas 2,5 mg filmom obalené tablety;Riociguát;;;
Adempas 2,5 mg filmom obalené tablety;Riociguát;;;
Adenuric 80 mg filmom obalené tablety;Febuxostát;;;
Adepend 50 mg filmom obalené tablety;Naltrexón;;;
Adimuplan 100 mg;Sitagliptín;;;
Adolax 10 mg/5 mg;Oxykodón a naloxón;;;
Adolax 20 mg/10 mg;Oxykodón a naloxón;;;
Adolax 40 mg/20 mg;Oxykodón a naloxón;;;
Adrenalin Bradex 1 mg/ml injekčný roztok;Epinefrín (Adrenalín);;;
Adrenalin Léčiva;Epinefrín (Adrenalín);;;
Advagraf 0,5 mg tvrdé kapsuly s predĺženým uvoľňovaním;Takrolimus;;;
Advagraf 1 mg tvrdé kapsuly s predĺženým uvoľňovaním;Takrolimus;;;
Advagraf 3 mg tvrdé kapsuly s predĺženým uvoľňovaním;Takrolimus;;;
Advagraf 5 mg tvrdé kapsuly s predĺženým uvoľňovaním;Takrolimus;;;
Advantan krém;Metylprednizolónaceponát;;;
ADVATE 1000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ADVATE 1500 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ADVATE 2000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ADVATE 250 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ADVATE 3000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ADVATE 500 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ADYNOVI 1 000 IU/2 ml prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ADYNOVI 2 000 IU/5 ml prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ADYNOVI 3 000 IU/5 ml prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ADYNOVI 500 IU/2 ml prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
Aerius 0,5 mg/ml perorálny roztok;Dezloratadín;;;
Aerius 0,5 mg/ml perorálny roztok;Dezloratadín;;;
Aflamil 100 mg filmom obalené tablety;Aceklofenak;;;
Aflamil 100 mg filmom obalené tablety;Aceklofenak;;;
Afloderm;Alklometazón;;;
Afloderm;Alklometazón;;;
AFLUDITEN 25 mg/ml;Flufenazín;;;
Afqlir 40 mg/ml, injekčný roztok naplnený v injekčnej striekačke;Aflibercept;;;
AFSTYLA 1000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
AFSTYLA 2000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
AFSTYLA 250 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
AFSTYLA 3000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
AFSTYLA 500 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
Agen 10;Amlodipín;;;
Agen 10;Amlodipín;;;
Agen 5;Amlodipín;;;
Agen 5;Amlodipín;;;
Aglandin 0,5 mg/0,4 mg tvrdé kapsuly;Tamsulozín a dutasterid;;;
Agomelatín Stada;Agomelatín;;;
Agomelatín Stada;Agomelatín;;;
Agomelatine Glenmark 25 mg;Agomelatín;;;
Aimovig 140 mg injekčný roztok v naplnenom pere;Erenumab;;;
AIRCLESIO 160 mikrogramov/dávka;Ciklezonid;;;
Airflusal Forspiro 50 mikrogramov/250 mikrogramov;Salmeterol a flutikazón;;;
Airflusal Forspiro 50 mikrogramov/500 mikrogramov;Salmeterol a flutikazón;;;
AJOVY 225 mg injekčný roztok v naplnenej injekčnej striekačke;Fremanezumab;;;
AJOVY 225 mg injekčný roztok v naplnenom pere;Fremanezumab;;;
Akineton;Biperidén;;;
Akineton;Biperidén;;;
Akistan  50 mikrogramov/ml očná roztoková instilácia;Latanoprost;;;
Akistan  50 mikrogramov/ml očná roztoková instilácia;Latanoprost;;;
Aknemycin 2000;Erytromycín;;;
Aknemycin Plus;Erytromycín, kombinácie;;;
Aknenormin 10;Izotretinoín;;;
Aknenormin 20;Izotretinoín;;;
Aknenormin 20;Izotretinoín;;;
AKTIPROL 200 mg tablety;Amisulprid;;;
AKTIPROL 400 mg tablety;Amisulprid;;;
Akynzeo 300 mg/0,5 mg tvrdé kapsuly;Palonosetrón, kombinácie;;;
Aladez;Kyselina tioktová;;;
Aladez;Kyselina tioktová;;;
Albutein 50 g/l infúzny roztok;Albumín;;;
ALDARA 5 % krém;Imichimod;;;
Aldepla 25 mg;Eplerenón;;;
Aldepla 25 mg;Eplerenón;;;
Aldurazyme, 100 U/ml infúzny koncentrát;Laronidáza;;;
Alecensa 150 mg tvrdé kapsuly;Alektinib;;;
Alergimed;Levocetirizín;;;
Alergimed;Levocetirizín;;;
Alergimed;Levocetirizín;;;
Aletro 2,5 mg filmom obalené tablety;Letrozol;;;
Alfacalcidol STADA 1 µg mäkké kapsuly;Alfakalcidol;;;
Alfacalcidol STADA 1 µg mäkké kapsuly;Alfakalcidol;;;
ALFAMED 1,0 mikrogram;Alfakalcidol;;;
ALFAMED 1,0 mikrogram;Alfakalcidol;;;
Alfuzosin Sandoz 10 mg tablety s predĺženým uvoľňovaním;Alfuzozín;;;
Alfuzosin Sandoz 10 mg tablety s predĺženým uvoľňovaním;Alfuzozín;;;
Alfuzosin Viatris 10 mg;Alfuzozín;;;
Algogesic 100 µg/ h transdermálna náplasť;Fentanyl;;;
Alkapidan 0,5 mg/0,4 mg tvrdé kapsuly;Tamsulozín a dutasterid;;;
Allergodil;Azelastín;;;
Allergodil 0,05 % očné roztokové kvapky;Azelastín;;;
ALMIRAL;Diklofenak;;;
Alopurinol Sandoz 300 mg;Alopurinol;;;
Alopurinol Sandoz 300 mg;Alopurinol;;;
Aloxi 500 mikrogramov mäkké kapsuly;Palonosetrón;;;
ALPHA D3 1 µg;Alfakalcidol;;;
ALPHA D3 1 µg;Alfakalcidol;;;
Alpicort 2 mg/ml + 4 mg/ml dermálny roztok;Prednizolón;;;
Alpicort F 0,05 mg/ml + 2 mg/ml + 4 mg/ml dermálny roztok;Prednizolón;;;
ALPROLIX 1000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor IX;;;
ALPROLIX 2000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor IX;;;
ALPROLIX 250 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor IX;;;
ALPROLIX 3000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor IX;;;
ALPROLIX 500 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor IX;;;
Alprostan;Alprostadil;;;
Alprostapint 20 µg/ml;Alprostadil;;;
ALTUVOCT 1 000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ALTUVOCT 2 000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ALTUVOCT 250 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ALTUVOCT 3 000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ALTUVOCT 4 000 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
ALTUVOCT 500 IU prášok a rozpúšťadlo na injekčný roztok;Koagulačný faktor VIII;;;
Alunbrig 180 mg filmom obalené tablety;Brigatinib;;;
Alunbrig 30 mg filmom obalené tablety;Brigatinib;;;
Alunbrig 90 mg + 180 mg filmom obalené tablety;Brigatinib;;;
Alunbrig 90 mg filmom obalené tablety;Brigatinib;;;
Alutard SQ;Extrakty alergénov;;;
Alutard SQ;Extrakty alergénov;;;
Alutard SQ jedy hmyzu;Hmyz;;;
Alutard SQ jedy hmyzu;Hmyz;;;
Alventa 150 mg;Venlafaxín;;;
Alventa 150 mg;Venlafaxín;;;
Alventa 37,5 mg;Venlafaxín;;;
Alventa 75 mg;Venlafaxín;;;
Alventa 75 mg;Venlafaxín;;;
Alvesco 160 Inhalátor;Ciklezonid;;;
Alymsys 25 mg/ml koncentrát na infúzny roztok;Bevacizumab;;;
Alymsys 25 mg/ml koncentrát na infúzny roztok;Bevacizumab;;;
ALYOSTAL PRICK;Rôzne extrakty alergénov;;;
Amarhyton 100 mg tvrdé kapsuly s predĺženým uvoľňovaním;Flekainid;;;
Amarhyton 50 mg tvrdé kapsuly s predĺženým uvoľňovaním;Flekainid;;;
Ambrisentan AOP 5 mg filmom obalené tablety;Ambrisentán;;;
AMGEVITA 40 mg injekčný roztok v naplnenom pere;Adalimumab;;;
Amicloton;Chlórtalidón a diuretiká šetriace draslík;;;
Amiokordin 200 mg;Amiodarón;;;
AMIRAP 10 mg/10 mg tvrdé kapsuly;Ramipril a amlodipín;;;
AMIRAP 10 mg/5 mg tvrdé kapsuly;Ramipril a amlodipín;;;
AMIRAP 5 mg/10 mg tvrdé kapsuly;Ramipril a amlodipín;;;
AMIRAP 5 mg/5 mg tvrdé kapsuly;Ramipril a amlodipín;;;
Amisulprid Viatris 200 mg tablety;Amisulprid;;;
Amitriptylin-Slovakofarma;Amitriptylín;;;
Amlator 10 mg/10 mg filmom obalené tablety;Atorvastatín a amlodipín;;;
Amlator 10 mg/5 mg filmom obalené tablety;Atorvastatín a amlodipín;;;
Amlator 10 mg/5 mg filmom obalené tablety;Atorvastatín a amlodipín;;;
Amlator 20 mg/10 mg filmom obalené tablety;Atorvastatín a amlodipín;;;
Amlator 20 mg/10 mg filmom obalené tablety;Atorvastatín a amlodipín;;;
Amlator 20 mg/5 mg filmom obalené tablety;Atorvastatín a amlodipín;;;
Amlator 20 mg/5 mg filmom obalené tablety;Atorvastatín a amlodipín;;;
Amlessa 4 mg/10 mg tablety;Perindopril a amlodipín;;;
Amlessa 4 mg/10 mg tablety;Perindopril a amlodipín;;;
Amlessa 4 mg/5 mg tablety;Perindopril a amlodipín;;;
Amlessa 4 mg/5 mg tablety;Perindopril a amlodipín;;;
Amlessa 8 mg/10 mg tablety;Perindopril a amlodipín;;;
Amlessa 8 mg/10 mg tablety;Perindopril a amlodipín;;;
Amlessa 8 mg/5 mg tablety;Perindopril a amlodipín;;;
Amlessa 8 mg/5 mg tablety;Perindopril a amlodipín;;;
Amlessa Neo 10 mg/10 mg tablety;Perindopril a amlodipín;;;
Amlessa Neo 10 mg/10 mg tablety;Perindopril a amlodipín;;;
Amlessa Neo 10 mg/5 mg tablety;Perindopril a amlodipín;;;
Amlessa Neo 10 mg/5 mg tablety;Perindopril a amlodipín;;;
Amlessa Neo 5 mg/10 mg tablety;Perindopril a amlodipín;;;
Amlessa Neo 5 mg/10 mg tablety;Perindopril a amlodipín;;;
Amlessa Neo 5 mg/5 mg tablety;Perindopril a amlodipín;;;
Amlessa Neo 5 mg/5 mg tablety;Perindopril a amlodipín;;;
Amlodipin ratiopharm 10 mg;Amlodipín;;;
Amlodipin ratiopharm 5 mg;Amlodipín;;;
Amlodipin Vitabalans 5 mg tablety;Amlodipín;;;
Amlodipín/Valsartan Sandoz 10 mg/160 mg;Valsartan a amlodipín;;;
Amlodipín/Valsartan Sandoz 5 mg/160 mg;Valsartan a amlodipín;;;
Amlodipín/Valsartan Sandoz 5 mg/80 mg;Valsartan a amlodipín;;;
Amlodipine Medreg 5 mg;Amlodipín;;;
AMLOPIN S 10 mg tablety;Amlodipín;;;
AMLOPIN S 5 mg tablety;Amlodipín;;;
Amoksiklav 1000 mg granulát na perorálnu suspenziu;Amoxicilín a inhibítor betalaktamázy;;;
Amoksiklav 156,25 mg/5 ml;Amoxicilín a inhibítor betalaktamázy;;;
Amoksiklav 2x1000 mg;Amoxicilín a inhibítor betalaktamázy;;;
Amoksiklav 2x457 mg/5 ml;Amoxicilín a inhibítor betalaktamázy;;;
Amoksiklav 2x457 mg/5 ml;Amoxicilín a inhibítor betalaktamázy;;;
Amoksiklav 625 mg;Amoxicilín a inhibítor betalaktamázy;;;
Amvuttra 25 mg injekčný roztok v naplnenej injekčnej striekačke;Vutrisíran;;;
Anafranil 25;Klomipramín;;;
ANAFRANIL SR 75;Klomipramín;;;
Anagrelide Glenmark 0,5 mg;Anagrelid;;;
Anagrelide Vipharm 0,5 mg;Anagrelid;;;
Anaprex 1 mg;Anastrozol;;;
ANARGIL 100 mg;Danazol;;;
ANARGIL 200 mg;Danazol;;;
Anastrozol Ebewe 1 mg;Anastrozol;;;
Anastrozol-ratiopharm 1 mg;Anastrozol;;;
Anastrozol-ratiopharm 1 mg;Anastrozol;;;
Anastrozole Pharmacenter;Anastrozol;;;
Anau 100 mg filmom obalené tablety;Sitagliptín;;;
Anau 100 mg filmom obalené tablety;Sitagliptín;;;
Androcur;Cyproterón;;;
Androcur Depot;Cyproterón;;;
Androfin 5 mg;Finasterid;;;
ANGITRIM;Trimetazidín;;;
ANOPYRIN 100 mg;Kyselina acetylsalicylová;;;
ANOPYRIN 100 mg;Kyselina acetylsalicylová;;;
ANOPYRIN 100 mg;Kyselina acetylsalicylová;;;
ANORO ELLIPTA 55 mikrogramov/22 mikrogramov dávkovaný inhalačný prášok;Vilanterol a umeklidíniumbromid;;;
Ansifora 100 mg filmom obalené tablety;Sitagliptín;;;
Ansifora 100 mg filmom obalené tablety;Sitagliptín;;;
ANTALERG 0,05 %;Azelastín;;;
Anvildis 50 mg;Vildagliptín;;;
Anvildis Duo 50 mg/1 000 mg filmom obalené tablety;Metformín a vildagliptín;;;
Anvildis Duo 50 mg/850 mg filmom obalené tablety;Metformín a vildagliptín;;;
Apaurin;Diazepam;;;
APEL 600 mg filmom obalené tablety;Linezolid;;;
Apeneta 100 mg tablety s predĺženým uvoľňovaním;Tapentadol;;;
Apeneta 150 mg tablety s predĺženým uvoľňovaním;Tapentadol;;;
Apeneta 200 mg tablety s predĺženým uvoľňovaním;Tapentadol;;;
Apeneta 250 mg tablety s predĺženým uvoľňovaním;Tapentadol;;;
Apeneta 50 mg tablety s predĺženým uvoľňovaním;Tapentadol;;;
Apexelsin 5 mg/ml prášok na infúznu disperziu;Paklitaxel;;;
Apidra SoloStar 100 jednotiek/ml injekčný roztok v naplnenom pere;Inzulín-glulyzín;;;
Apixaban Gedeon Richter 2,5 mg filmom obalené tablety;Apixabán;;;
Apixaban Gedeon Richter 2,5 mg filmom obalené tablety;Apixabán;;;
Apixaban Gedeon Richter 5 mg filmom obalené tablety;Apixabán;;;
Apixaban Gedeon Richter 5 mg filmom obalené tablety;Apixabán;;;
Apixaban Sandoz 2,5 mg;Apixabán;;;
Apixaban Sandoz 5 mg;Apixabán;;;
Apixaban STADA 2,5 mg;Apixabán;;;
Apixaban STADA 2,5 mg;Apixabán;;;
Apixaban STADA 5 mg;Apixabán;;;
Apixaban STADA 5 mg;Apixabán;;;
Apixaban Teva Slovakia 2,5 mg;Apixabán;;;
Apixaban Teva Slovakia 2,5 mg;Apixabán;;;
Apixaban Teva Slovakia 5 mg;Apixabán;;;
Apixaban Teva Slovakia 5 mg;Apixabán;;;
Apixaban Viatris 2,5 mg;Apixabán;;;
Apixaban Viatris 2,5 mg;Apixabán;;;
Apixaban Viatris 5 mg;Apixabán;;;
Apixaban Viatris 5 mg;Apixabán;;;
Apremilast Accord 10 mg filmom obalené tablety, Apremilast Accord 20 mg filmom obalené tablety, Apremilast Accord 30 mg filmom obalené tablety;Apremilast;;;
Apremilast Accord 30 mg filmom obalené tablety;Apremilast;;;
Apremilast Krka 10 mg filmom obalené tablety Apremilast Krka 20 mg filmom obalené tablety Apremilast Krka 30 mg filmom obalené tablety;Apremilast;;;
Apremilast Krka 30 mg filmom obalené tablety;Apremilast;;;
Apremilast STADA 10 mg filmom obalené tablety Apremilast STADA 20 mg filmom obalené tablety Apremilast STADA 30 mg filmom obalené tablety;Apremilast;;;
Apremilast STADA 30 mg filmom obalené tablety;Apremilast;;;
Apremilast STADA 30 mg filmom obalené tablety;Apremilast;;;
Apremilast Teva 10 mg, Apremilast Teva 20 mg, Apremilast Teva 30 mg;Apremilast;;;
Apremilast Teva 30 mg;Apremilast;;;
Aprepitant Stada 80 mg a Aprepitant Stada 125 mg;Aprepitant;;;
Aranesp;Darbepoetín alfa;;;
Aranesp;Darbepoetín alfa;;;
Aranesp;Darbepoetín alfa;;;
Aranesp;Darbepoetín alfa;;;
Aranesp;Darbepoetín alfa;;;
Aranesp;Darbepoetín alfa;;;
Aranesp;Darbepoetín alfa;;;
Aranesp;Darbepoetín alfa;;;
Aregalu 14 mg filmom obalené tablety;Teriflunomid;;;
Aripiprazol Sandoz 10 mg orodispergovateľné tablety;Aripiprazol;;;
Aripiprazol Sandoz 15 mg orodispergovateľné tablety;Aripiprazol;;;
Aripiprazol STADA 10 mg orodispergovateľné tablety;Aripiprazol;;;
Aripiprazol STADA 15 mg orodispergovateľné tablety;Aripiprazol;;;
Aripiprazol STADA 15 mg tablety;Aripiprazol;;;
Aripiprazol Teva 10 mg orodispergovateľné tablety;Aripiprazol;;;
Aripiprazol Teva 15 mg orodispergovateľné tablety;Aripiprazol;;;
Aripiprazol Viatris 10 mg orodispergovateľné tablety;Aripiprazol;;;
Aripiprazol Viatris 15 mg orodispergovateľné tablety;Aripiprazol;;;
Aripiprazole Sandoz 10 mg tablety;Aripiprazol;;;
Aripiprazole Sandoz 15 mg tablety;Aripiprazol;;;
Aripiprazole Zentiva 10 mg tablety;Aripiprazol;;;
Aripiprazole Zentiva 15 mg tablety;Aripiprazol;;;
Arisppa 10 mg tablety;Aripiprazol;;;
Arisppa 10 mg tablety;Aripiprazol;;;
Arisppa 15 mg tablety;Aripiprazol;;;
Arisppa 15 mg tablety;Aripiprazol;;;
Arixtra 2,5 mg/0,5 ml injekčný roztok, naplnená injekčná striekačka;Fondaparinux;;;
ARKETIS 20 mg;Paroxetín;;;
ARKETIS 20 mg;Paroxetín;;;
ARKETIS 30 mg;Paroxetín;;;
Arkvimma 100 mg filmom obalené tablety;Lakosamid;;;
Arkvimma 150 mg filmom obalené tablety;Lakosamid;;;
Arkvimma 200 mg filmom obalené tablety;Lakosamid;;;
Arkvimma 50 mg filmom obalené tablety;Lakosamid;;;
AROMASIN;Exemestán;;;
AROPILOS 2 mg tablety s predĺženým uvoľňovaním;Ropinirol;;;
AROPILOS 4 mg tablety s predĺženým uvoľňovaním;Ropinirol;;;
AROPILOS 8 mg tablety s predĺženým uvoľňovaním;Ropinirol;;;
ARTHROTEC FORTE;Diklofenak, kombinácie;;;
Arusol 10 mg;Solifenacín;;;
Arusol 5 mg;Solifenacín;;;
Asduter 10 mg tablety;Aripiprazol;;;
Asduter 10 mg tablety;Aripiprazol;;;
Asduter 15 mg tablety;Aripiprazol;;;
Asduter 15 mg tablety;Aripiprazol;;;
ASKETON 50 mg filmom obalené tablety;Itoprid;;;
ASKETON 50 mg filmom obalené tablety;Itoprid;;;
ASMANEX 400 µg;Mometazón;;;
Asolfena 10 mg;Solifenacín;;;
Asolfena 10 mg;Solifenacín;;;
Asolfena 5 mg;Solifenacín;;;
Asolfena 5 mg;Solifenacín;;;
ASPAVELI 1 080 mg infúzny roztok;Pegcetakoplan;;;
ASPENDOS 100 mg;Modafinil;;;
ASPIRIN PROTECT 100;Kyselina acetylsalicylová;;;
ASPIRIN PROTECT 100;Kyselina acetylsalicylová;;;
Assubex 10 mg;Rivaroxabán;;;
Assubex 15 mg;Rivaroxabán;;;
Assubex 15 mg;Rivaroxabán;;;
Assubex 15 mg;Rivaroxabán;;;
Assubex 2,5 mg;Rivaroxabán;;;
Assubex 20 mg;Rivaroxabán;;;
Assubex 20 mg;Rivaroxabán;;;
Astexana 25 mg;Exemestán;;;
Asthmex 50 mikrogramov/100 mikrogramov dávkovaný inhalačný prášok;Salmeterol a flutikazón;;;
Asthmex 50 mikrogramov/250 mikrogramov dávkovaný inhalačný prášok;Salmeterol a flutikazón;;;
Asthmex 50 mikrogramov/500 mikrogramov dávkovaný inhalačný prášok;Salmeterol a flutikazón;;;
ASTMASAN 10 mg filmom obalené tablety;Montelukast;;;
Atacand 16 mg;Kandesartan;;;
Atacand 32 mg;Kandesartan;;;
Atacand 8 mg;Kandesartan;;;
Atacand Plus 16/12,5 mg;Kandesartan a diuretiká;;;
Atacand Plus 32 mg/25 mg;Kandesartan a diuretiká;;;
ATARAX;Hydroxyzín;;;
Atectura Breezhaler 125 mikrogramov/260 mikrogramov inhalačný prášok v tvrdých kapsulách;Indakaterol a mometazón;;;
Atenobene 100 mg;Atenolol;;;
Atenobene 50 mg;Atenolol;;;
Atimos 12 µg inhalačný roztok v tlakovom obale;Formoterol;;;
Atixarso 90 mg filmom obalené tablety;Tikagrelor;;;
Atofab 10 mg tvrdé kapsuly;Atomoxetín;;;
Atofab 18 mg tvrdé kapsuly;Atomoxetín;;;
Atofab 25 mg tvrdé kapsuly;Atomoxetín;;;
Atofab 40 mg tvrdé kapsuly;Atomoxetín;;;
Atofab 60 mg tvrdé kapsuly;Atomoxetín;;;
Atominex 10 mg;Atomoxetín;;;
Atominex 18 mg;Atomoxetín;;;
Atominex 25 mg;Atomoxetín;;;
Atominex 40 mg;Atomoxetín;;;
Atominex 60 mg;Atomoxetín;;;
Atomoxetine Actavis 10 mg;Atomoxetín;;;
Atomoxetine Actavis 18 mg;Atomoxetín;;;
Atomoxetine Actavis 25 mg;Atomoxetín;;;
Atomoxetine Actavis 40 mg;Atomoxetín;;;
Atomoxetine Actavis 60 mg;Atomoxetín;;;
Atoridor 80 mg;Atorvastatín;;;
Atoridor 80 mg;Atorvastatín;;;
Atoris 10;Atorvastatín;;;
Atoris 10;Atorvastatín;;;
Atoris 20;Atorvastatín;;;
Atoris 20;Atorvastatín;;;
Atoris 30;Atorvastatín;;;
Atoris 30;Atorvastatín;;;
Atoris 40;Atorvastatín;;;
Atoris 40;Atorvastatín;;;
Atoris 60;Atorvastatín;;;
Atoritimb 10 mg/10 mg filmom obalené tablety;Atorvastatín a ezetimib;;;
Atoritimb 10 mg/10 mg filmom obalené tablety;Atorvastatín a ezetimib;;;
Atoritimb 10 mg/20 mg filmom obalené tablety;Atorvastatín a ezetimib;;;
Atoritimb 10 mg/20 mg filmom obalené tablety;Atorvastatín a ezetimib;;;
Atoritimb 10 mg/40 mg filmom obalené tablety;Atorvastatín a ezetimib;;;
Atoritimb 10 mg/40 mg filmom obalené tablety;Atorvastatín a ezetimib;;;
Atoritimb 10 mg/80 mg filmom obalené tablety;Atorvastatín a ezetimib;;;
Atoritimb 10 mg/80 mg filmom obalené tablety;Atorvastatín a ezetimib;;;
Atorvastatin Medreg 10 mg;Atorvastatín;;;
Atorvastatin Medreg 20 mg;Atorvastatín;;;
Atorvastatin Medreg 40 mg;Atorvastatín;;;
Atorvastatin Medreg 40 mg;Atorvastatín;;;
Atorvastatin Medreg 80 mg;Atorvastatín;;;
Atorvastatin Medreg 80 mg;Atorvastatín;;;
Atorvastatin STADA 10 mg filmom obalené tablety;Atorvastatín;;;
Atorvastatin STADA 20 mg filmom obalené tablety;Atorvastatín;;;
Atorvastatin STADA 40 mg filmom obalené tablety;Atorvastatín;;;
Atorvastatin STADA 80 mg filmom obalené tablety;Atorvastatín;;;
Atorvastatin Teva 10 mg;Atorvastatín;;;
Atorvastatin Teva 10 mg;Atorvastatín;;;
Atorvastatin Teva 20 mg;Atorvastatín;;;
Atorvastatin Teva 20 mg;Atorvastatín;;;
Atorvastatin Teva 30 mg;Atorvastatín;;;
Atorvastatin Teva 30 mg;Atorvastatín;;;
Atorvastatin Teva 40 mg;Atorvastatín;;;
Atorvastatin Teva 40 mg;Atorvastatín;;;
