"Erysipeloid, unspecified",A26
Leptospirosis icterohemorrhagica,A27
Aseptic meningitis in leptospirosis,A27
Other forms of leptospirosis,A27
"Leptospirosis, unspecified",A27
Pasteurellosis,A28
Cat-scratch disease,A28
Extraintestinal yersiniosis,A28
"Other specified zoonotic bacterial diseases, not elsewhere classified",A28
"Zoonotic bacterial disease, unspecified",A28
Indeterminate leprosy,A30
Tuberculoid leprosy,A30
Borderline tuberculoid leprosy,A30
Borderline leprosy,A30
Borderline lepromatous leprosy,A30
Lepromatous leprosy,A30
Other forms of leprosy,A30
"Leprosy, unspecified",A30
Pulmonary mycobacterial infection,A31
Cutaneous mycobacterial infection,A31
Disseminated mycobacterium avium-intracellulare complex (DMAC),A31
Other mycobacterial infections,A31
"Mycobacterial infection, unspecified",A31
Cutaneous listeriosis,A32
Listerial meningitis,A32
Listerial meningoencephalitis,A32
Listerial sepsis,A32
Oculoglandular listeriosis,A32
Listerial endocarditis,A32
Other forms of listeriosis,A32
"Listeriosis, unspecified",A32
Tetanus neonatorum,A33
Obstetrical tetanus,A34
Other tetanus,A35
Pharyngeal diphtheria,A36
Nasopharyngeal diphtheria,A36
Laryngeal diphtheria,A36
Cutaneous diphtheria,A36
Diphtheritic cardiomyopathy,A36
Diphtheritic radiculomyelitis,A36
Diphtheritic polyneuritis,A36
Diphtheritic tubulo-interstitial nephropathy,A36
Diphtheritic cystitis,A36
Diphtheritic conjunctivitis,A36
Other diphtheritic complications,A36
"Diphtheria, unspecified",A36
Whooping cough due to Bordetella pertussis without pneumonia,A37
Whooping cough due to Bordetella pertussis with pneumonia,A37
Whooping cough due to Bordetella parapertussis without pneumonia,A37
Whooping cough due to Bordetella parapertussis with pneumonia,A37
Whooping cough due to other Bordetella species without pneumonia,A37
Whooping cough due to other Bordetella species with pneumonia,A37
"Whooping cough, unspecified species without pneumonia",A37
"Whooping cough, unspecified species with pneumonia",A37
Scarlet fever with otitis media,A38
Scarlet fever with myocarditis,A38
Scarlet fever with other complications,A38
"Scarlet fever, uncomplicated",A38
Meningococcal meningitis,A39
Waterhouse-Friderichsen syndrome,A39
Acute meningococcemia,A39
Chronic meningococcemia,A39
"Meningococcemia, unspecified",A39
"Meningococcal carditis, unspecified",A39
Meningococcal endocarditis,A39
Meningococcal myocarditis,A39
Meningococcal pericarditis,A39
Meningococcal encephalitis,A39
Meningococcal retrobulbar neuritis,A39
Meningococcal arthritis,A39
Postmeningococcal arthritis,A39
Other meningococcal infections,A39
"Meningococcal infection, unspecified",A39
"Sepsis due to streptococcus, group A",A40
"Sepsis due to streptococcus, group B",A40
Sepsis due to Streptococcus pneumoniae,A40
Other streptococcal sepsis,A40
"Streptococcal sepsis, unspecified",A40
Sepsis due to Methicillin susceptible Staphylococcus aureus,A41
Sepsis due to Methicillin resistant Staphylococcus aureus,A41
Sepsis due to other specified staphylococcus,A41
Sepsis due to unspecified staphylococcus,A41
Sepsis due to Hemophilus influenzae,A41
Sepsis due to anaerobes,A41
"Gram-negative sepsis, unspecified",A41
Sepsis due to Escherichia coli [E. coli],A41
Sepsis due to Pseudomonas,A41
Sepsis due to Serratia,A41
Other Gram-negative sepsis,A41
Sepsis due to Enterococcus,A41
Other specified sepsis,A41
"Sepsis, unspecified organism",A41
Pulmonary actinomycosis,A42
Abdominal actinomycosis,A42
Cervicofacial actinomycosis,A42
Actinomycotic sepsis,A42
Actinomycotic meningitis,A42
Actinomycotic encephalitis,A42
Other forms of actinomycosis,A42
"Actinomycosis, unspecified",A42
Pulmonary nocardiosis,A43
Cutaneous nocardiosis,A43
Other forms of nocardiosis,A43
"Nocardiosis, unspecified",A43
Systemic bartonellosis,A44
Cutaneous and mucocutaneous bartonellosis,A44
Other forms of bartonellosis,A44
"Bartonellosis, unspecified",A44
Erysipelas,A46
Gas gangrene,A48
Legionnaires' disease,A48
Nonpneumonic Legionnaires' disease [Pontiac fever],A48
Toxic shock syndrome,A48
Brazilian purpuric fever,A48
Infant botulism,A48
Wound botulism,A48
Other specified bacterial diseases,A48
"Methicillin susceptible Staphylococcus aureus infection, unspecified site",A49
"Methicillin resistant Staphylococcus aureus infection, unspecified site",A49
"Streptococcal infection, unspecified site",A49
"Hemophilus influenzae infection, unspecified site",A49
"Mycoplasma infection, unspecified site",A49
Other bacterial infections of unspecified site,A49
"Bacterial infection, unspecified",A49
Early congenital syphilitic oculopathy,A50
Early congenital syphilitic osteochondropathy,A50
Early congenital syphilitic pharyngitis,A50
Early congenital syphilitic pneumonia,A50
Early congenital syphilitic rhinitis,A50
Early cutaneous congenital syphilis,A50
Early mucocutaneous congenital syphilis,A50
Early visceral congenital syphilis,A50
"Other early congenital syphilis, symptomatic",A50
"Early congenital syphilis, latent",A50
"Early congenital syphilis, unspecified",A50
"Late congenital syphilitic oculopathy, unspecified",A50
Late congenital syphilitic interstitial keratitis,A50
Late congenital syphilitic chorioretinitis,A50
Other late congenital syphilitic oculopathy,A50
"Late congenital neurosyphilis, unspecified",A50
Late congenital syphilitic meningitis,A50
Late congenital syphilitic encephalitis,A50
Late congenital syphilitic polyneuropathy,A50
Late congenital syphilitic optic nerve atrophy,A50
Juvenile general paresis,A50
Other late congenital neurosyphilis,A50
Clutton's joints,A50
Hutchinson's teeth,A50
Hutchinson's triad,A50
Late congenital cardiovascular syphilis,A50
Late congenital syphilitic arthropathy,A50
Late congenital syphilitic osteochondropathy,A50
Syphilitic saddle nose,A50
"Other late congenital syphilis, symptomatic",A50
"Late congenital syphilis, latent",A50
"Late congenital syphilis, unspecified",A50
"Congenital syphilis, unspecified",A50
Primary genital syphilis,A51
Primary anal syphilis,A51
Primary syphilis of other sites,A51
Condyloma latum,A51
Syphilitic alopecia,A51
Other secondary syphilis of skin,A51
Secondary syphilitic meningitis,A51
Secondary syphilitic female pelvic disease,A51
Secondary syphilitic oculopathy,A51
Secondary syphilitic nephritis,A51
Secondary syphilitic hepatitis,A51
Secondary syphilitic osteopathy,A51
Other secondary syphilitic conditions,A51
"Early syphilis, latent",A51
"Early syphilis, unspecified",A51
"Cardiovascular syphilis, unspecified",A52
Syphilitic aneurysm of aorta,A52
Syphilitic aortitis,A52
Syphilitic endocarditis,A52
Syphilitic cerebral arteritis,A52
Other cerebrovascular syphilis,A52
Other syphilitic heart involvement,A52
Other cardiovascular syphilis,A52
"Symptomatic neurosyphilis, unspecified",A52
Tabes dorsalis,A52
Other cerebrospinal syphilis,A52
Late syphilitic meningitis,A52
Late syphilitic encephalitis,A52
Late syphilitic neuropathy,A52
Charcot's arthropathy (tabetic),A52
General paresis,A52
Other symptomatic neurosyphilis,A52
Asymptomatic neurosyphilis,A52
"Neurosyphilis, unspecified",A52
Late syphilitic oculopathy,A52
Syphilis of lung and bronchus,A52
Symptomatic late syphilis of other respiratory organs,A52
Syphilis of liver and other viscera,A52
Syphilis of kidney and ureter,A52
Other genitourinary symptomatic late syphilis,A52
Syphilis of bone and joint,A52
Syphilis of other musculoskeletal tissue,A52
Other symptomatic late syphilis,A52
"Late syphilis, latent",A52
"Late syphilis, unspecified",A52
"Latent syphilis, unspecified as early or late",A53
"Syphilis, unspecified",A53
"Gonococcal infection of lower genitourinary tract, unspecified",A54
"Gonococcal cystitis and urethritis, unspecified",A54
"Gonococcal vulvovaginitis, unspecified",A54
"Gonococcal cervicitis, unspecified",A54
Other gonococcal infection of lower genitourinary tract,A54
Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A54
Gonococcal infection of kidney and ureter,A54
Gonococcal prostatitis,A54
Gonococcal infection of other male genital organs,A54
Gonococcal female pelvic inflammatory disease,A54
Other gonococcal genitourinary infections,A54
"Gonococcal infection of eye, unspecified",A54
Gonococcal conjunctivitis,A54
Gonococcal iridocyclitis,A54
Gonococcal keratitis,A54
Other gonococcal eye infection,A54
"Gonococcal infection of musculoskeletal system, unspecified",A54
Gonococcal spondylopathy,A54
Gonococcal arthritis,A54
Gonococcal osteomyelitis,A54
Gonococcal infection of other musculoskeletal tissue,A54
Gonococcal pharyngitis,A54
Gonococcal infection of anus and rectum,A54
Gonococcal meningitis,A54
Gonococcal brain abscess,A54
Gonococcal heart infection,A54
Gonococcal pneumonia,A54
Gonococcal peritonitis,A54
Gonococcal sepsis,A54
Other gonococcal infections,A54
"Gonococcal infection, unspecified",A54
Chlamydial lymphogranuloma (venereum),A55
"Chlamydial infection of lower genitourinary tract, unspecified",A56
Chlamydial cystitis and urethritis,A56
Chlamydial vulvovaginitis,A56
Other chlamydial infection of lower genitourinary tract,A56
Chlamydial female pelvic inflammatory disease,A56
Other chlamydial genitourinary infection,A56
"Chlamydial infection of genitourinary tract, unspecified",A56
Chlamydial infection of anus and rectum,A56
Chlamydial infection of pharynx,A56
Sexually transmitted chlamydial infection of other sites,A56
Chancroid,A57
Granuloma inguinale,A58
"Urogenital trichomoniasis, unspecified",A59
Trichomonal vulvovaginitis,A59
Trichomonal prostatitis,A59
Trichomonal cystitis and urethritis,A59
Other urogenital trichomoniasis,A59
